event_id,order_id,carrier,tracking_number,ship_date,delivery_status,event_timestamp
EVT-000044,ORDER-00034,ups,398642610930,2026-09-10,in_transit,2026-09-10 11:00:00
EVT-000045,ORDER-00035,ups,887734373500,2026-06-03,label_created,2026-06-03 04:00:00
EVT-000046,ORDER-00035,fedex,047434553766,2026-06-03,in_transit,2026-06-03 10:00:00
EVT-000047,ORDER-00035,dhl,587682311176,2026-06-03,out_for_delivery,2026-06-03 17:00:00
EVT-000048,ORDER-00036,fedex,337570706135,2026-08-15,label_created,2026-08-15 03:00:00
EVT-000049,ORDER-00036,dhl,576966767448,2026-08-15,in_transit,2026-08-15 11:00:00
EVT-000050,ORDER-00037,fedex,614360271721,2026-08-10,label_created,2026-08-10 05:00:00
EVT-000051,ORDER-00037,usps,635065447058,2026-08-10,in_transit,2026-08-10 08:00:00
EVT-000052,ORDER-00038,usps,960355483130,2026-06-15,label_created,2026-06-15 03:00:00
EVT-000053,ORDER-00040,usps,797772413452,2026-07-17,label_created,2026-07-17 03:00:00
EVT-000054,ORDER-00040,dhl,632825831796,2026-07-17,in_transit,2026-07-17 10:00:00
EVT-000055,ORDER-00040,usps,151372802187,2026-07-17,out_for_delivery,2026-07-17 15:00:00
EVT-000056,ORDER-00042,fedex,377339434509,2026-08-25,label_created,2026-08-25 04:00:00
EVT-000057,ORDER-00042,ups,002809019926,2026-08-25,in_transit,2026-08-25 07:00:00
EVT-000058,ORDER-00043,usps,355406067494,2026-05-29,label_created,2026-05-29 01:00:00
EVT-000059,ORDER-00043,dhl,171087858792,2026-05-29,in_transit,2026-05-29 08:00:00
EVT-000060,ORDER-00043,dhl,403585395160,2026-05-29,out_for_delivery,2026-05-29 12:00:00
EVT-000061,ORDER-00044,ups,194739683626,2026-08-28,label_created,2026-08-28 00:00:00
EVT-000062,ORDER-00044,usps,696044325112,2026-08-28,in_transit,2026-08-28 11:00:00
EVT-000063,ORDER-00044,ups,449637326268,2026-08-28,out_for_delivery,2026-08-28 15:00:00
EVT-000064,ORDER-00045,ups,361291149504,2026-06-17,label_created,2026-06-17 00:00:00
EVT-000065,ORDER-00045,dhl,672894827466,2026-06-17,in_transit,2026-06-17 09:00:00
EVT-000066,ORDER-00045,ups,498175279117,2026-06-17,out_for_delivery,2026-06-17 13:00:00
EVT-000067,ORDER-00048,usps,880833508426,2026-09-13,label_created,2026-09-13 00:00:00
EVT-000068,ORDER-00048,dhl,396916616325,2026-09-13,in_transit,2026-09-13 11:00:00
EVT-000069,ORDER-00049,usps,549653726230,2026-09-20,label_created,2026-09-20 01:00:00
EVT-000070,ORDER-00050,usps,107950140443,2026-09-10,label_created,2026-09-10 04:00:00
EVT-000071,ORDER-00050,dhl,269599072949,2026-09-10,in_transit,2026-09-10 09:00:00
EVT-000072,ORDER-00051,dhl,275790623675,2026-09-20,label_created,2026-09-20 01:00:00
EVT-000073,ORDER-00051,usps,712313151882,2026-09-20,in_transit,2026-09-20 10:00:00
EVT-000074,ORDER-00052,ups,995272706262,2026-06-12,label_created,2026-06-12 05:00:00
EVT-000075,ORDER-00052,ups,541898736204,2026-06-12,in_transit,2026-06-12 10:00:00
EVT-000076,ORDER-00052,fedex,592857371315,2026-06-12,out_for_delivery,2026-06-12 14:00:00
EVT-000077,ORDER-00053,ups,978293178819,2026-09-23,label_created,2026-09-23 05:00:00
EVT-000078,ORDER-00053,dhl,822588248257,2026-09-23,in_transit,2026-09-23 06:00:00
EVT-000079,ORDER-00054,dhl,115312712021,2026-07-30,label_created,2026-07-30 05:00:00
EVT-000080,ORDER-00054,dhl,071719558090,2026-07-30,in_transit,2026-07-30 08:00:00
EVT-000081,ORDER-00055,ups,082395856136,2026-08-16,label_created,2026-08-16 01:00:00
EVT-000082,ORDER-00057,dhl,709507663070,2026-07-21,label_created,2026-07-21 02:00:00
EVT-000083,ORDER-00057,dhl,644466966103,2026-07-21,in_transit,2026-07-21 11:00:00
EVT-000084,ORDER-00058,usps,661470963399,2026-05-27,label_created,2026-05-27 03:00:00
EVT-000085,ORDER-00058,ups,063606700663,2026-05-27,in_transit,2026-05-27 10:00:00
EVT-000086,ORDER-00059,fedex,346260170492,2026-07-12,label_created,2026-07-12 05:00:00
EVT-000087,ORDER-00059,dhl,642376270948,2026-07-12,in_transit,2026-07-12 08:00:00
EVT-000088,ORDER-00061,usps,137769248970,2026-07-18,label_created,2026-07-18 03:00:00
EVT-000089,ORDER-00062,fedex,992128783710,2026-09-14,label_created,2026-09-14 05:00:00
EVT-000090,ORDER-00062,dhl,938006796098,2026-09-14,in_transit,2026-09-14 08:00:00
EVT-000091,ORDER-00063,dhl,370239676079,2026-06-27,label_created,2026-06-27 02:00:00
EVT-000092,ORDER-00063,usps,685498303653,2026-06-27,in_transit,2026-06-27 06:00:00
EVT-000093,ORDER-00064,ups,182316204139,2026-09-11,label_created,2026-09-11 03:00:00
EVT-000094,ORDER-00065,usps,999728031311,2026-07-13,label_created,2026-07-13 03:00:00
EVT-000095,ORDER-00065,usps,463220122154,2026-07-13,in_transit,2026-07-13 07:00:00
EVT-000096,ORDER-00066,dhl,805557238543,2026-08-13,label_created,2026-08-13 01:00:00
EVT-000097,ORDER-00067,usps,727056007250,2026-08-30,label_created,2026-08-30 04:00:00
EVT-000098,ORDER-00068,dhl,452081717802,2026-05-31,label_created,2026-05-31 01:00:00
EVT-000099,ORDER-00068,usps,470207949157,2026-05-31,in_transit,2026-05-31 07:00:00
EVT-000100,ORDER-00068,dhl,350775557496,2026-05-31,out_for_delivery,2026-05-31 12:00:00
EVT-000101,ORDER-00069,fedex,901318289912,2026-09-15,label_created,2026-09-15 02:00:00
EVT-000102,ORDER-00070,ups,083281358801,2026-09-25,label_created,2026-09-25 05:00:00
EVT-000103,ORDER-00072,usps,492730988455,2026-07-29,label_created,2026-07-29 02:00:00
EVT-000104,ORDER-00073,dhl,296022622730,2026-07-23,label_created,2026-07-23 01:00:00
EVT-000105,ORDER-00073,dhl,764521581177,2026-07-23,in_transit,2026-07-23 06:00:00
EVT-000106,ORDER-00073,ups,475256036513,2026-07-23,out_for_delivery,2026-07-23 14:00:00
EVT-000107,ORDER-00074,fedex,051053550125,2026-08-06,label_created,2026-08-06 02:00:00
EVT-000108,ORDER-00074,usps,042676870619,2026-08-06,in_transit,2026-08-06 06:00:00
EVT-000109,ORDER-00075,usps,709354895397,2026-06-23,label_created,2026-06-23 04:00:00
EVT-000110,ORDER-00075,ups,649881167291,2026-06-23,in_transit,2026-06-23 06:00:00
EVT-000111,ORDER-00076,ups,886946345083,2026-09-09,label_created,2026-09-09 00:00:00
EVT-000112,ORDER-00078,ups,694252366403,2026-07-24,label_created,2026-07-24 01:00:00
EVT-000113,ORDER-00078,ups,138214145233,2026-07-24,in_transit,2026-07-24 06:00:00
EVT-000114,ORDER-00079,dhl,289530369233,2026-07-25,label_created,2026-07-25 04:00:00
EVT-000115,ORDER-00079,dhl,170496047092,2026-07-25,in_transit,2026-07-25 07:00:00
EVT-000116,ORDER-00080,usps,814018715067,2026-06-19,label_created,2026-06-19 05:00:00
EVT-000117,ORDER-00080,ups,419447560596,2026-06-19,in_transit,2026-06-19 10:00:00
EVT-000118,ORDER-00080,dhl,038839214771,2026-06-19,out_for_delivery,2026-06-19 17:00:00
EVT-000119,ORDER-00081,fedex,289315974904,2026-08-17,label_created,2026-08-17 05:00:00
EVT-000120,ORDER-00081,fedex,846492910597,2026-08-17,in_transit,2026-08-17 08:00:00
EVT-000121,ORDER-00082,fedex,622569926900,2026-06-17,label_created,2026-06-17 00:00:00
EVT-000122,ORDER-00082,usps,244687069820,2026-06-17,in_transit,2026-06-17 06:00:00
EVT-000123,ORDER-00083,ups,769286037894,2026-08-15,label_created,2026-08-15 04:00:00
EVT-000124,ORDER-00083,usps,412389211702,2026-08-15,in_transit,2026-08-15 10:00:00
EVT-000125,ORDER-00083,fedex,911748280734,2026-08-15,out_for_delivery,2026-08-15 12:00:00
EVT-000126,ORDER-00084,usps,401958501817,2026-06-26,label_created,2026-06-26 03:00:00
EVT-000127,ORDER-00084,ups,077243255584,2026-06-26,in_transit,2026-06-26 11:00:00
EVT-000128,ORDER-00085,ups,852237489286,2026-07-18,label_created,2026-07-18 03:00:00
EVT-000129,ORDER-00085,usps,778821171634,2026-07-18,in_transit,2026-07-18 07:00:00
EVT-000130,ORDER-00086,dhl,713801431320,2026-09-12,label_created,2026-09-12 03:00:00
EVT-000131,ORDER-00086,dhl,607886595183,2026-09-12,in_transit,2026-09-12 10:00:00
EVT-000132,ORDER-00087,usps,485745363157,2026-08-31,label_created,2026-08-31 02:00:00
EVT-000133,ORDER-00087,fedex,147257913171,2026-08-31,in_transit,2026-08-31 09:00:00
EVT-000134,ORDER-00087,usps,081370065869,2026-08-31,out_for_delivery,2026-08-31 13:00:00
EVT-000135,ORDER-00089,ups,169068220237,2026-09-18,label_created,2026-09-18 00:00:00
EVT-000136,ORDER-00089,dhl,829076324981,2026-09-18,in_transit,2026-09-18 06:00:00
EVT-000137,ORDER-00089,fedex,287351949833,2026-09-18,out_for_delivery,2026-09-18 13:00:00
EVT-000138,ORDER-00090,fedex,570581577173,2026-06-17,label_created,2026-06-17 04:00:00
EVT-000139,ORDER-00090,usps,453338570873,2026-06-17,in_transit,2026-06-17 06:00:00
EVT-000140,ORDER-00091,usps,729996725324,2026-09-21,label_created,2026-09-21 01:00:00
EVT-000141,ORDER-00093,dhl,519209869063,2026-08-30,label_created,2026-08-30 03:00:00
EVT-000142,ORDER-00094,usps,189504186491,2026-09-22,label_created,2026-09-22 02:00:00
EVT-000143,ORDER-00094,usps,899680458818,2026-09-22,in_transit,2026-09-22 07:00:00
EVT-000144,ORDER-00095,fedex,403965376910,2026-06-08,label_created,2026-06-08 04:00:00
EVT-000145,ORDER-00095,dhl,401426382716,2026-06-08,in_transit,2026-06-08 10:00:00
EVT-000146,ORDER-00095,usps,709558015973,2026-06-08,out_for_delivery,2026-06-08 15:00:00
EVT-000147,ORDER-00097,dhl,799106009997,2026-08-20,label_created,2026-08-20 00:00:00
EVT-000148,ORDER-00097,dhl,047385665236,2026-08-20,in_transit,2026-08-20 10:00:00
EVT-000149,ORDER-00098,dhl,390859222276,2026-06-27,label_created,2026-06-27 01:00:00
EVT-000150,ORDER-00098,fedex,007603737364,2026-06-27,in_transit,2026-06-27 11:00:00
EVT-000151,ORDER-00098,fedex,773304526576,2026-06-27,out_for_delivery,2026-06-27 16:00:00
EVT-000152,ORDER-00099,usps,417805308176,2026-08-30,label_created,2026-08-30 01:00:00
EVT-000153,ORDER-00099,fedex,170143214908,2026-08-30,in_transit,2026-08-30 06:00:00
EVT-000154,ORDER-00099,usps,130720488901,2026-08-30,out_for_delivery,2026-08-30 12:00:00
EVT-000155,ORDER-00100,dhl,464763893986,2026-08-19,label_created,2026-08-19 05:00:00
EVT-000156,ORDER-00101,ups,182123269216,2026-06-23,label_created,2026-06-23 02:00:00
EVT-000157,ORDER-00102,fedex,766072042188,2026-09-09,label_created,2026-09-09 04:00:00
EVT-000158,ORDER-00102,usps,390367831052,2026-09-09,in_transit,2026-09-09 07:00:00
EVT-000159,ORDER-00104,fedex,300827952816,2026-06-01,label_created,2026-06-01 05:00:00
EVT-000160,ORDER-00105,ups,828328022480,2026-08-22,label_created,2026-08-22 01:00:00
EVT-000161,ORDER-00105,fedex,228989256454,2026-08-22,in_transit,2026-08-22 09:00:00
EVT-000162,ORDER-00105,dhl,903941754821,2026-08-22,out_for_delivery,2026-08-22 15:00:00
EVT-000163,ORDER-00106,dhl,546817470141,2026-08-18,label_created,2026-08-18 03:00:00
EVT-000164,ORDER-00106,fedex,601565975711,2026-08-18,in_transit,2026-08-18 11:00:00
EVT-000165,ORDER-00107,fedex,411763322228,2026-06-24,label_created,2026-06-24 01:00:00
EVT-000166,ORDER-00108,fedex,049130903751,2026-09-12,label_created,2026-09-12 04:00:00
EVT-000167,ORDER-00108,fedex,819759555954,2026-09-12,in_transit,2026-09-12 07:00:00
EVT-000168,ORDER-00108,ups,031004497808,2026-09-12,out_for_delivery,2026-09-12 12:00:00
EVT-000169,ORDER-00109,dhl,801318019242,2026-08-29,label_created,2026-08-29 02:00:00
EVT-000170,ORDER-00110,ups,292059648539,2026-07-07,label_created,2026-07-07 04:00:00
EVT-000171,ORDER-00110,ups,512301017517,2026-07-07,in_transit,2026-07-07 09:00:00
EVT-000172,ORDER-00111,fedex,007923801652,2026-06-05,label_created,2026-06-05 00:00:00
EVT-000173,ORDER-00111,dhl,061059285840,2026-06-05,in_transit,2026-06-05 08:00:00
EVT-000174,ORDER-00111,dhl,474703212161,2026-06-05,out_for_delivery,2026-06-05 14:00:00
EVT-000175,ORDER-00113,fedex,487603038681,2026-08-12,label_created,2026-08-12 01:00:00
EVT-000176,ORDER-00113,ups,447406979814,2026-08-12,in_transit,2026-08-12 09:00:00
EVT-000177,ORDER-00114,ups,189353838014,2026-08-04,label_created,2026-08-04 00:00:00
EVT-000178,ORDER-00114,dhl,519711266782,2026-08-04,in_transit,2026-08-04 07:00:00
EVT-000179,ORDER-00116,fedex,217675787149,2026-06-06,label_created,2026-06-06 03:00:00
EVT-000180,ORDER-00118,fedex,266006841250,2026-08-09,label_created,2026-08-09 01:00:00
EVT-000181,ORDER-00119,usps,363869718749,2026-05-27,label_created,2026-05-27 03:00:00
EVT-000182,ORDER-00119,fedex,193186943860,2026-05-27,in_transit,2026-05-27 09:00:00
EVT-000183,ORDER-00120,ups,487310804260,2026-06-26,label_created,2026-06-26 00:00:00
EVT-000184,ORDER-00120,dhl,855560991983,2026-06-26,in_transit,2026-06-26 10:00:00
EVT-000185,ORDER-00120,dhl,285551288109,2026-06-26,out_for_delivery,2026-06-26 12:00:00
EVT-000186,ORDER-00122,dhl,608821705189,2026-07-04,label_created,2026-07-04 00:00:00
EVT-000187,ORDER-00123,usps,179467030856,2026-08-14,label_created,2026-08-14 00:00:00
EVT-000188,ORDER-00125,dhl,070457887596,2026-06-05,label_created,2026-06-05 03:00:00
EVT-000189,ORDER-00128,fedex,556508934847,2026-08-19,label_created,2026-08-19 04:00:00
EVT-000190,ORDER-00129,fedex,873027526729,2026-06-07,label_created,2026-06-07 02:00:00
EVT-000191,ORDER-00130,dhl,734370393228,2026-08-12,label_created,2026-08-12 01:00:00
EVT-000192,ORDER-00130,usps,811615334858,2026-08-12,in_transit,2026-08-12 11:00:00
EVT-000193,ORDER-00133,fedex,888064258419,2026-08-16,label_created,2026-08-16 01:00:00
EVT-000194,ORDER-00133,dhl,144486147573,2026-08-16,in_transit,2026-08-16 11:00:00
EVT-000195,ORDER-00134,usps,931712772985,2026-09-23,label_created,2026-09-23 00:00:00
EVT-000196,ORDER-00135,ups,488660793226,2026-06-11,label_created,2026-06-11 04:00:00
EVT-000197,ORDER-00135,fedex,954783513462,2026-06-11,in_transit,2026-06-11 06:00:00
EVT-000198,ORDER-00135,fedex,751613885959,2026-06-11,out_for_delivery,2026-06-11 14:00:00
EVT-000199,ORDER-00136,usps,455899108623,2026-06-25,label_created,2026-06-25 03:00:00
EVT-000200,ORDER-00136,usps,482414240020,2026-06-25,in_transit,2026-06-25 08:00:00
EVT-000201,ORDER-00136,usps,862437394180,2026-06-25,out_for_delivery,2026-06-25 16:00:00
EVT-000202,ORDER-00137,fedex,558473206665,2026-07-04,label_created,2026-07-04 00:00:00
EVT-000203,ORDER-00138,fedex,266088934836,2026-09-19,label_created,2026-09-19 05:00:00
EVT-000204,ORDER-00138,usps,410334381609,2026-09-19,in_transit,2026-09-19 07:00:00
EVT-000205,ORDER-00138,ups,073197474538,2026-09-19,out_for_delivery,2026-09-19 15:00:00
EVT-000206,ORDER-00139,dhl,942217337322,2026-08-11,label_created,2026-08-11 02:00:00
EVT-000207,ORDER-00139,fedex,850244512276,2026-08-11,in_transit,2026-08-11 11:00:00
EVT-000208,ORDER-00139,fedex,967957785893,2026-08-11,out_for_delivery,2026-08-11 17:00:00
EVT-000209,ORDER-00140,dhl,477917619848,2026-06-09,label_created,2026-06-09 00:00:00
EVT-000210,ORDER-00141,usps,432796677958,2026-06-14,label_created,2026-06-14 00:00:00
EVT-000211,ORDER-00141,dhl,804457985138,2026-06-14,in_transit,2026-06-14 07:00:00
EVT-000212,ORDER-00142,fedex,863254333129,2026-07-07,label_created,2026-07-07 05:00:00
EVT-000213,ORDER-00142,usps,801169989367,2026-07-07,in_transit,2026-07-07 09:00:00
EVT-000214,ORDER-00143,usps,378145645481,2026-07-10,label_created,2026-07-10 02:00:00
EVT-000215,ORDER-00143,ups,851477243765,2026-07-10,in_transit,2026-07-10 06:00:00
EVT-000216,ORDER-00143,fedex,631862653171,2026-07-10,out_for_delivery,2026-07-10 14:00:00
EVT-000217,ORDER-00145,usps,599941836814,2026-05-29,label_created,2026-05-29 01:00:00
EVT-000218,ORDER-00147,dhl,465778191264,2026-06-18,label_created,2026-06-18 05:00:00
EVT-000219,ORDER-00147,dhl,956345459786,2026-06-18,in_transit,2026-06-18 07:00:00
EVT-000220,ORDER-00147,usps,423107545412,2026-06-18,out_for_delivery,2026-06-18 13:00:00
EVT-000221,ORDER-00148,dhl,448460317687,2026-08-02,label_created,2026-08-02 01:00:00
EVT-000222,ORDER-00149,fedex,725860688011,2026-07-03,label_created,2026-07-03 03:00:00
EVT-000223,ORDER-00150,dhl,941343667017,2026-06-24,label_created,2026-06-24 00:00:00
EVT-000224,ORDER-00150,dhl,804095423013,2026-06-24,in_transit,2026-06-24 07:00:00
EVT-000225,ORDER-00150,usps,904820033542,2026-06-24,out_for_delivery,2026-06-24 15:00:00
EVT-000226,ORDER-00151,dhl,715558477390,2026-06-05,label_created,2026-06-05 05:00:00
EVT-000227,ORDER-00152,fedex,038591522379,2026-08-11,label_created,2026-08-11 04:00:00
EVT-000228,ORDER-00152,usps,342362978957,2026-08-11,in_transit,2026-08-11 10:00:00
EVT-000229,ORDER-00152,usps,244024082298,2026-08-11,out_for_delivery,2026-08-11 17:00:00
EVT-000230,ORDER-00153,usps,905532308972,2026-07-03,label_created,2026-07-03 01:00:00
EVT-000231,ORDER-00155,dhl,925945651533,2026-09-15,label_created,2026-09-15 01:00:00
EVT-000232,ORDER-00156,fedex,090487195927,2026-06-24,label_created,2026-06-24 01:00:00
EVT-000233,ORDER-00157,dhl,492063452681,2026-09-11,label_created,2026-09-11 02:00:00
EVT-000234,ORDER-00157,dhl,838752609452,2026-09-11,in_transit,2026-09-11 08:00:00
EVT-000235,ORDER-00157,fedex,735993624619,2026-09-11,out_for_delivery,2026-09-11 17:00:00
EVT-000236,ORDER-00158,usps,122238215815,2026-07-20,label_created,2026-07-20 01:00:00
EVT-000237,ORDER-00158,dhl,876871626398,2026-07-20,in_transit,2026-07-20 10:00:00
EVT-000238,ORDER-00159,usps,062277371160,2026-09-26,label_created,2026-09-26 00:00:00
EVT-000239,ORDER-00159,ups,007284650373,2026-09-26,in_transit,2026-09-26 07:00:00
EVT-000240,ORDER-00160,usps,909038465231,2026-05-29,label_created,2026-05-29 02:00:00
EVT-000241,ORDER-00163,usps,879807218312,2026-07-22,label_created,2026-07-22 05:00:00
EVT-000242,ORDER-00163,fedex,740465488964,2026-07-22,in_transit,2026-07-22 07:00:00
EVT-000243,ORDER-00163,ups,221724452096,2026-07-22,out_for_delivery,2026-07-22 12:00:00
EVT-000244,ORDER-00165,ups,119014174953,2026-08-01,label_created,2026-08-01 02:00:00
EVT-000245,ORDER-00165,ups,351056441473,2026-08-01,in_transit,2026-08-01 06:00:00
EVT-000246,ORDER-00166,fedex,255212473072,2026-07-08,label_created,2026-07-08 02:00:00
EVT-000247,ORDER-00167,dhl,450298379061,2026-07-22,label_created,2026-07-22 05:00:00
EVT-000248,ORDER-00167,usps,133198617042,2026-07-22,in_transit,2026-07-22 09:00:00
EVT-000249,ORDER-00168,ups,709608438521,2026-06-26,label_created,2026-06-26 01:00:00
EVT-000250,ORDER-00169,fedex,982190387065,2026-07-31,label_created,2026-07-31 03:00:00
EVT-000251,ORDER-00170,fedex,346524211349,2026-08-12,label_created,2026-08-12 00:00:00
EVT-000252,ORDER-00170,fedex,107769006218,2026-08-12,in_transit,2026-08-12 10:00:00
EVT-000253,ORDER-00170,dhl,708130027503,2026-08-12,out_for_delivery,2026-08-12 12:00:00
EVT-000254,ORDER-00173,ups,813957846666,2026-07-01,label_created,2026-07-01 00:00:00
EVT-000255,ORDER-00173,usps,179719193692,2026-07-01,in_transit,2026-07-01 06:00:00
EVT-000256,ORDER-00173,usps,129190317480,2026-07-01,out_for_delivery,2026-07-01 15:00:00
EVT-000257,ORDER-00174,fedex,027563439235,2026-09-10,label_created,2026-09-10 00:00:00
EVT-000258,ORDER-00174,fedex,783230373792,2026-09-10,in_transit,2026-09-10 07:00:00
EVT-000259,ORDER-00174,dhl,152959091841,2026-09-10,out_for_delivery,2026-09-10 17:00:00
EVT-000260,ORDER-00176,fedex,604269868879,2026-08-31,label_created,2026-08-31 00:00:00
EVT-000261,ORDER-00176,usps,024813284691,2026-08-31,in_transit,2026-08-31 11:00:00
EVT-000262,ORDER-00178,usps,316233897147,2026-07-16,label_created,2026-07-16 04:00:00
EVT-000263,ORDER-00178,fedex,595853137702,2026-07-16,in_transit,2026-07-16 08:00:00
EVT-000264,ORDER-00178,usps,832583860913,2026-07-16,out_for_delivery,2026-07-16 15:00:00
EVT-000265,ORDER-00180,ups,080885278762,2026-08-30,label_created,2026-08-30 02:00:00
EVT-000266,ORDER-00180,dhl,176374327098,2026-08-30,in_transit,2026-08-30 06:00:00
EVT-000267,ORDER-00180,ups,266336403353,2026-08-30,out_for_delivery,2026-08-30 14:00:00
EVT-000268,ORDER-00181,dhl,005548778567,2026-06-05,label_created,2026-06-05 04:00:00
EVT-000269,ORDER-00181,dhl,932319188052,2026-06-05,in_transit,2026-06-05 07:00:00
EVT-000270,ORDER-00182,fedex,907393595288,2026-09-10,label_created,2026-09-10 01:00:00
EVT-000271,ORDER-00182,ups,986269058128,2026-09-10,in_transit,2026-09-10 09:00:00
EVT-000272,ORDER-00182,usps,791241159292,2026-09-10,out_for_delivery,2026-09-10 17:00:00
EVT-000273,ORDER-00183,fedex,588525275748,2026-09-06,label_created,2026-09-06 00:00:00
EVT-000274,ORDER-00183,ups,349383256186,2026-09-06,in_transit,2026-09-06 07:00:00
EVT-000275,ORDER-00183,ups,683506248216,2026-09-06,out_for_delivery,2026-09-06 15:00:00
EVT-000276,ORDER-00184,usps,215752797874,2026-09-19,label_created,2026-09-19 03:00:00
EVT-000277,ORDER-00184,ups,855351774108,2026-09-19,in_transit,2026-09-19 08:00:00
EVT-000278,ORDER-00185,fedex,530484539960,2026-06-28,label_created,2026-06-28 03:00:00
EVT-000279,ORDER-00186,ups,455640070107,2026-09-22,label_created,2026-09-22 04:00:00
EVT-000280,ORDER-00186,fedex,217685577094,2026-09-22,in_transit,2026-09-22 10:00:00
EVT-000281,ORDER-00187,fedex,690201318985,2026-07-10,label_created,2026-07-10 02:00:00
EVT-000282,ORDER-00188,ups,027251637292,2026-07-30,label_created,2026-07-30 03:00:00
EVT-000283,ORDER-00189,fedex,987377016301,2026-06-11,label_created,2026-06-11 02:00:00
EVT-000284,ORDER-00189,ups,922692179450,2026-06-11,in_transit,2026-06-11 07:00:00
EVT-000285,ORDER-00190,fedex,408993442663,2026-07-28,label_created,2026-07-28 01:00:00
EVT-000286,ORDER-00190,fedex,461774902350,2026-07-28,in_transit,2026-07-28 11:00:00
EVT-000287,ORDER-00191,ups,527287661690,2026-08-18,label_created,2026-08-18 03:00:00
