ticket_id,customer_id,ticket_status,created_at
TICKET-00050,CUST-00124,closed,2026-07-19 00:01:00
TICKET-00051,CUST-00126,closed,2026-07-08 03:24:00
TICKET-00052,CUST-00134,closed,2026-09-22 07:21:00
TICKET-00053,CUST-00135,closed,2026-06-26 02:53:00
TICKET-00054,CUST-00135,closed,2026-08-18 19:16:00
TICKET-00055,CUST-00137,open,2026-09-02 22:53:00
TICKET-00056,CUST-00138,closed,2026-07-24 22:52:00
TICKET-00057,CUST-00139,closed,2026-08-25 00:42:00
TICKET-00058,CUST-00139,closed,2026-09-18 01:26:00
TICKET-00059,CUST-00141,closed,2026-06-26 01:33:00
TICKET-00060,CUST-00141,closed,2026-07-12 20:46:00
TICKET-00061,CUST-00144,closed,2026-08-29 22:00:00
TICKET-00062,CUST-00144,closed,2026-07-15 01:29:00
TICKET-00063,CUST-00146,closed,2026-08-23 14:12:00
TICKET-00064,CUST-00146,closed,2026-07-08 02:09:00
TICKET-00065,CUST-00150,closed,2026-08-27 18:30:00
TICKET-00066,CUST-00152,open,2026-07-31 09:24:00
TICKET-00067,CUST-00153,closed,2026-08-23 19:01:00
TICKET-00068,CUST-00160,closed,2026-07-02 19:37:00
TICKET-00069,CUST-00160,closed,2026-07-05 21:20:00
TICKET-00070,CUST-00162,closed,2026-07-26 21:04:00
TICKET-00071,CUST-00169,closed,2026-07-08 06:03:00
TICKET-00072,CUST-00170,closed,2026-08-18 15:27:00
TICKET-00073,CUST-00171,pending,2026-06-25 02:56:00
TICKET-00074,CUST-00171,closed,2026-09-16 21:29:00
TICKET-00075,CUST-00181,closed,2026-09-09 17:27:00
TICKET-00076,CUST-00187,closed,2026-07-21 05:12:00
TICKET-00077,CUST-00189,closed,2026-07-31 06:53:00
TICKET-00078,CUST-00193,closed,2026-08-08 12:10:00
TICKET-00079,CUST-00194,pending,2026-09-21 04:48:00
TICKET-00080,CUST-00198,closed,2026-08-16 06:02:00
TICKET-00081,CUST-00205,closed,2026-07-15 05:02:00
TICKET-00082,CUST-00205,closed,2026-09-08 17:32:00
TICKET-00083,CUST-00212,closed,2026-09-23 16:28:00
TICKET-00084,CUST-00217,closed,2026-09-03 16:36:00
TICKET-00085,CUST-00217,closed,2026-09-06 04:06:00
TICKET-00086,CUST-00221,closed,2026-08-19 22:15:00
TICKET-00087,CUST-00221,closed,2026-06-29 19:56:00
TICKET-00088,CUST-00225,open,2026-08-18 04:55:00
TICKET-00089,CUST-00226,pending,2026-09-16 15:17:00
TICKET-00090,CUST-00227,closed,2026-08-14 00:32:00
TICKET-00091,CUST-00228,closed,2026-08-20 05:49:00
TICKET-00092,CUST-00230,closed,2026-07-21 00:13:00
TICKET-00093,CUST-00230,closed,2026-08-25 09:52:00
TICKET-00094,CUST-00234,closed,2026-08-13 18:47:00
TICKET-00095,CUST-00240,closed,2026-09-14 16:56:00
TICKET-00096,CUST-00240,closed,2026-08-02 22:32:00
TICKET-00097,CUST-00241,closed,2026-09-18 01:14:00
TICKET-00098,CUST-00241,closed,2026-09-09 21:37:00
TICKET-00099,CUST-00248,open,2026-09-16 23:21:00
TICKET-00100,CUST-00248,closed,2026-09-11 18:06:00
TICKET-00101,CUST-00249,closed,2026-08-05 16:19:00
TICKET-00102,CUST-00250,open,2026-08-24 13:55:00
TICKET-00103,CUST-00256,closed,2026-06-25 20:53:00
TICKET-00104,CUST-00258,closed,2026-07-15 08:56:00
TICKET-00105,CUST-00265,closed,2026-07-23 21:19:00
TICKET-00106,CUST-00265,closed,2026-07-14 10:00:00
TICKET-00107,CUST-00269,open,2026-07-27 20:39:00
TICKET-00108,CUST-00269,closed,2026-07-08 04:00:00
TICKET-00109,CUST-00278,pending,2026-08-08 07:55:00
TICKET-00110,CUST-00278,closed,2026-07-27 21:05:00
TICKET-00111,CUST-00282,closed,2026-09-10 08:01:00
TICKET-00112,CUST-00282,closed,2026-09-16 02:09:00
TICKET-00113,CUST-00283,pending,2026-09-08 22:55:00
TICKET-00114,CUST-00284,closed,2026-07-27 22:12:00
TICKET-00115,CUST-00284,closed,2026-06-25 22:00:00
TICKET-00116,CUST-00290,closed,2026-07-23 04:20:00
TICKET-00117,CUST-00295,closed,2026-08-11 11:01:00
TICKET-00118,CUST-00297,open,2026-07-22 00:29:00
TICKET-00119,CUST-00297,closed,2026-07-11 11:45:00
